t_ms,phi_deg,ank_deg,alpha_deg,del_cmd_deg,del_now_deg
119397,0.088,14.216,14.304,40,37.881
119407,0.088,14.722,14.810,40,37.793
119417,0.110,14.414,14.524,40,37.881
119427,0.110,14.370,14.480,40,37.881
119437,0.044,14.063,14.106,40,37.881
119447,0.154,14.502,14.656,40,37.793
119457,0.088,14.568,14.656,40,37.881
119467,0.132,14.546,14.678,40,37.881
119477,0.176,14.216,14.392,40,37.881
119487,0.110,14.436,14.546,40,37.881
119497,0.088,14.568,14.656,40,37.881
119507,0.154,14.546,14.700,40,37.881
119517,0.110,14.216,14.326,40,37.881
119527,0.132,14.502,14.634,40,37.793
119537,0.132,14.238,14.370,40,37.881
119547,0.132,14.854,14.985,40,37.881
119557,0.110,13.997,14.106,40,37.793
119567,0.110,14.326,14.436,40,37.793
119577,0.176,14.326,14.502,40,37.793
119587,0.198,14.656,14.854,40,37.793
119597,0.198,14.634,14.832,40,37.793
119607,0.176,14.260,14.436,40,37.793
119617,0.264,14.282,14.546,40,37.793
119627,0.154,14.216,14.370,40,37.881
119637,0.198,14.414,14.612,40,37.881
119647,0.220,14.634,14.854,40,37.881
119657,0.242,14.634,14.875,40,37.881
119667,0.132,14.392,14.524,40,37.793
119677,0.198,14.436,14.634,40,37.793
119687,0.132,14.282,14.414,40,37.793
119697,0.198,14.348,14.546,40,37.793
119707,0.154,14.326,14.480,40,37.881
119717,0.176,14.150,14.326,40,37.793
119727,0.220,14.414,14.634,40,37.793
119737,0.198,14.150,14.348,40,37.793
119747,0.132,14.326,14.458,40,37.881
119757,0.176,14.282,14.458,40,37.881
119767,0.176,14.700,14.875,40,37.881
119777,0.110,14.238,14.348,40,37.881
119787,0.176,14.414,14.590,40,37.881
119797,0.154,14.348,14.502,40,37.881
119807,0.132,14.326,14.458,40,37.881
119817,0.176,14.700,14.875,40,37.881
119827,0.154,14.612,14.766,40,37.881
119837,0.176,14.546,14.722,40,37.793
119847,0.242,14.722,14.963,40,37.881
119857,0.220,14.590,14.810,40,37.793
119867,0.154,14.568,14.722,40,37.881
119877,0.176,14.194,14.370,40,37.881
119887,0.110,14.480,14.590,40,37.881
119897,0.176,14.590,14.766,40,37.881
119907,0.154,14.326,14.480,40,37.881
119917,0.132,14.744,14.875,40,37.881
119927,0.132,14.260,14.392,40,37.881
119937,0.066,14.370,14.436,40,37.881
119947,0.198,14.568,14.766,40,37.881
119957,0.110,14.194,14.304,40,37.881
119967,0.132,14.282,14.414,40,37.793
119977,0.110,14.546,14.656,40,37.881
119987,0.132,15.007,15.139,40,37.881
119997,0.110,14.238,14.348,40,37.881
120007,0.132,13.975,14.106,40,37.793
120017,0.110,14.238,14.348,40,37.881
120027,0.110,14.458,14.568,40,37.793
120037,0.066,14.216,14.282,40,37.881
120047,0.088,14.546,14.634,40,37.881
120057,0.110,14.524,14.634,40,37.881
120067,0.088,14.458,14.546,40,37.881
120077,0.066,14.304,14.370,40,37.881
120087,0.066,14.458,14.524,40,37.881
120097,0.066,13.909,13.975,40,37.881
120107,0.022,14.568,14.590,40,37.881
120117,0.088,14.436,14.524,40,37.793
120127,0.044,14.150,14.194,40,37.881
120137,0.066,14.238,14.304,40,37.793
120147,0.022,14.106,14.128,40,37.881
120157,0.044,14.788,14.832,40,37.793
120167,-0.022,14.260,14.238,40,37.881
120177,0.044,14.502,14.546,40,37.793
120187,0.066,14.414,14.480,40,37.793
120197,0.000,14.502,14.502,40,37.793
120207,0.000,14.458,14.458,40,37.793
120217,-0.022,14.194,14.172,40,37.881
120227,-0.022,14.041,14.019,40,37.881
120237,-0.022,14.875,14.854,40,37.881
120247,-0.022,14.919,14.897,40,37.881
120257,-0.044,14.392,14.348,40,37.881
120267,0.000,14.524,14.524,40,37.793
120277,0.022,14.700,14.722,40,37.881
120287,-0.022,14.326,14.304,40,37.881
120297,-0.066,14.348,14.282,40,37.793
120307,-0.066,14.304,14.238,40,37.881
120317,-0.022,14.612,14.590,40,37.793
120327,0.022,14.480,14.502,40,37.881
120337,-0.066,13.909,13.843,40,37.881
120347,-0.022,14.546,14.524,40,37.881
120357,-0.088,14.502,14.414,40,37.881
120367,-0.088,14.172,14.084,40,37.881
120377,-0.132,14.854,14.722,40,37.793
120387,-0.022,14.084,14.063,40,37.793
120397,-0.110,14.370,14.260,40,37.881
120407,-0.132,14.392,14.260,40,37.881
120417,-0.088,14.634,14.546,40,37.793
120427,-0.022,14.172,14.150,40,37.881
120437,-0.132,14.392,14.260,40,37.793
120447,-0.044,14.436,14.392,40,37.881
120457,-0.088,14.590,14.502,40,37.881
120467,-0.088,13.997,13.909,40,37.881
120477,-0.088,14.392,14.304,40,37.881
120487,-0.132,14.875,14.744,40,37.881
120497,-0.132,14.634,14.502,40,37.881
120507,-0.110,14.744,14.634,40,37.881
120517,-0.132,14.788,14.656,40,37.881
120527,-0.088,14.832,14.744,40,37.881
120537,-0.154,14.678,14.524,40,37.881
120547,-0.088,14.414,14.326,40,37.793
120557,-0.132,14.502,14.370,40,37.881
120567,-0.132,14.480,14.348,40,37.881
120577,-0.154,14.458,14.304,40,37.793
120587,-0.132,14.150,14.019,40,37.793
120597,-0.088,14.414,14.326,40,37.881
120607,-0.154,14.128,13.975,40,37.881
120617,-0.176,14.282,14.106,40,37.793
120627,-0.154,14.414,14.260,40,37.881
120637,-0.088,14.480,14.392,40,37.793
120647,-0.154,14.590,14.436,40,37.881
120657,-0.154,14.590,14.436,40,37.881
120667,-0.110,14.678,14.568,40,37.881
120677,-0.110,14.919,14.810,40,37.881
120687,-0.088,14.436,14.348,40,37.793
120697,-0.110,14.150,14.041,40,37.881
120707,-0.088,13.777,13.689,40,37.881
120717,-0.066,14.832,14.766,40,37.881
120727,-0.110,14.722,14.612,40,37.793
120737,-0.110,14.348,14.238,40,37.881
120747,-0.110,14.524,14.414,40,37.881
120757,-0.088,14.370,14.282,40,37.793
120767,-0.088,14.546,14.458,40,37.793
120777,-0.154,14.414,14.260,40,37.881
120787,-0.132,14.348,14.216,40,37.881
120797,-0.088,14.216,14.128,40,37.881
120807,-0.198,14.150,13.953,40,37.793
120817,-0.132,14.370,14.238,40,37.881
120827,-0.154,14.524,14.370,40,37.881
120837,-0.044,14.634,14.590,40,37.881
120847,-0.132,14.875,14.744,40,37.881
120857,-0.132,14.656,14.524,40,37.881
120867,-0.066,14.194,14.128,40,37.881
120877,-0.132,14.414,14.282,40,37.881
120887,-0.066,14.414,14.348,40,37.793
120897,-0.066,14.722,14.656,40,37.881
120907,-0.088,14.436,14.348,40,37.881
120917,-0.088,14.590,14.502,40,37.793
120927,-0.022,14.414,14.392,40,37.793
120937,-0.066,14.766,14.700,40,37.881
120947,-0.088,14.348,14.260,40,37.881
120957,-0.088,14.546,14.458,40,37.881
120967,-0.088,13.997,13.909,40,37.881
120977,-0.066,14.172,14.106,40,37.881
120987,-0.022,14.326,14.304,40,37.793
120997,-0.022,14.106,14.084,40,37.793
121007,-0.044,14.766,14.722,40,37.881
121017,0.000,14.480,14.480,40,37.793
121027,-0.022,14.612,14.590,40,37.793
121037,-0.022,14.414,14.392,40,37.881
121047,-0.044,14.128,14.084,40,37.881
121057,-0.022,14.348,14.326,40,37.793
121067,-0.044,14.524,14.480,40,37.793
121077,0.000,14.260,14.260,40,37.881
121087,-0.088,14.744,14.656,40,37.793
121097,-0.066,14.744,14.678,40,37.881
121107,0.000,14.590,14.590,40,37.793
121117,-0.044,14.392,14.348,40,37.881
121127,0.022,14.612,14.634,40,37.881
121137,0.022,14.458,14.480,40,37.881
121147,-0.022,13.953,13.931,40,37.881
121157,0.066,14.194,14.260,40,37.793
121167,0.044,14.678,14.722,40,37.793
121177,0.066,14.216,14.282,40,37.793
121187,0.022,14.304,14.326,40,37.881
121197,0.000,14.392,14.392,40,37.881
121207,0.000,14.348,14.348,40,37.881
121217,0.110,14.458,14.568,40,37.881
121227,0.088,14.238,14.326,40,37.793
121237,0.088,14.282,14.370,40,37.881
121247,0.022,14.304,14.326,40,37.881
121257,0.088,14.436,14.524,40,37.793
121267,0.066,14.590,14.656,40,37.793
121277,0.088,14.480,14.568,40,37.881
121287,0.066,14.238,14.304,40,37.881
121297,0.110,14.282,14.392,40,37.881
121307,0.088,14.414,14.502,40,37.881
121317,0.044,14.612,14.656,40,37.793
121327,0.066,14.568,14.634,40,37.793
121337,0.044,14.128,14.172,40,37.881
121347,0.110,14.634,14.744,40,37.793
121357,0.066,14.194,14.260,40,37.881
121367,0.132,14.392,14.524,40,37.793
121377,0.088,14.502,14.590,40,37.881
121387,0.066,14.150,14.216,40,37.881
121397,0.110,14.326,14.436,40,37.881
121407,0.154,14.502,14.656,40,37.881
121417,0.154,15.227,15.381,40,37.881
121427,0.198,14.084,14.282,40,37.881
121437,0.132,14.304,14.436,40,37.881
121447,0.132,14.480,14.612,40,37.881
121457,0.110,14.194,14.304,40,37.881
121467,0.110,14.063,14.172,40,37.793
121477,0.110,14.304,14.414,40,37.881
121487,0.132,14.304,14.436,40,37.793
121497,0.154,14.436,14.590,40,37.881
121507,0.132,14.326,14.458,40,37.793
121517,0.110,14.260,14.370,40,37.793
121527,0.110,14.084,14.194,40,37.793
121537,0.198,14.304,14.502,40,37.793
121547,0.132,14.480,14.612,40,37.793
121557,0.110,14.238,14.348,40,37.793
121567,0.154,14.546,14.700,40,37.793
121577,0.088,14.304,14.392,40,37.881
121587,0.176,14.172,14.348,40,37.881
121597,0.110,14.656,14.766,40,37.793
121607,0.176,14.282,14.458,40,37.881
121617,0.088,14.370,14.458,40,37.793
121627,0.154,14.348,14.502,40,37.793
121637,0.110,14.985,15.095,40,37.881
121647,0.154,14.590,14.744,40,37.793
121657,0.154,14.766,14.919,40,37.793
121667,0.132,14.810,14.941,40,37.881
121677,0.132,14.392,14.524,40,37.881
121687,0.132,14.656,14.788,40,37.881
121697,0.088,14.524,14.612,40,37.881
121707,0.154,14.612,14.766,40,37.793
121717,0.176,14.480,14.656,40,37.881
121727,0.176,14.260,14.436,40,37.881
121737,0.132,14.326,14.458,40,37.793
121747,0.132,14.392,14.524,40,37.881
121757,0.132,14.326,14.458,40,37.793
121767,0.154,14.678,14.832,40,37.881
121777,0.088,14.612,14.700,40,37.881
121787,0.088,14.238,14.326,40,37.881
121797,0.154,14.063,14.216,40,37.881
