# 형식: 읽기용 4Hz
E,169387,MOVE,0
E,171612,MOVE,10
E,173059,MOVE,0
# 출력 재개 (s 로 다시 정지)
dcmd=+0  d=-0.09 | phi=+0.00  ank=+0.07  alpha=+0.07
dcmd=+0  d=-0.18 | phi=+0.04  ank=+0.33  alpha=+0.37
dcmd=+0  d=-0.09 | phi=+0.09  ank=+0.24  alpha=+0.33
dcmd=+0  d=-0.18 | phi=+0.00  ank=+0.11  alpha=+0.11
dcmd=+0  d=-0.18 | phi=-0.07  ank=-0.18  alpha=-0.24
dcmd=+0  d=-0.09 | phi=-0.13  ank=-0.42  alpha=-0.55
dcmd=+0  d=-0.18 | phi=-0.07  ank=-0.29  alpha=-0.35
dcmd=+0  d=-0.09 | phi=+0.00  ank=-0.15  alpha=-0.15
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.07  alpha=-0.02
dcmd=+0  d=-0.18 | phi=+0.04  ank=+0.15  alpha=+0.20
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.37  alpha=-0.33
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.40  alpha=-0.35
dcmd=+0  d=-0.09 | phi=-0.09  ank=+0.24  alpha=+0.15
dcmd=+0  d=-0.09 | phi=-0.07  ank=-0.02  alpha=-0.09
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.07  alpha=-0.02
dcmd=+0  d=-0.18 | phi=+0.02  ank=-0.40  alpha=-0.37
dcmd=+0  d=-0.09 | phi=+0.07  ank=+0.04  alpha=+0.11
dcmd=+0  d=-0.09 | phi=+0.00  ank=-0.46  alpha=-0.46
dcmd=+0  d=-0.18 | phi=+0.00  ank=+0.02  alpha=+0.02
dcmd=+0  d=-0.18 | phi=-0.09  ank=+0.07  alpha=-0.02
dcmd=+0  d=-0.09 | phi=-0.11  ank=+0.15  alpha=+0.04
dcmd=+0  d=-0.09 | phi=-0.11  ank=-0.35  alpha=-0.46
dcmd=+0  d=-0.18 | phi=+0.00  ank=-0.02  alpha=-0.02
dcmd=+0  d=-0.09 | phi=+0.07  ank=-0.24  alpha=-0.18
dcmd=+0  d=-0.09 | phi=-0.04  ank=-0.24  alpha=-0.29
dcmd=+0  d=-0.09 | phi=-0.02  ank=-0.11  alpha=-0.13
dcmd=+0  d=-0.18 | phi=-0.04  ank=+0.24  alpha=+0.20
dcmd=+0  d=-0.09 | phi=-0.13  ank=-0.07  alpha=-0.20
dcmd=+0  d=-0.09 | phi=+0.02  ank=+0.18  alpha=+0.20
dcmd=+0  d=-0.18 | phi=+0.00  ank=-0.09  alpha=-0.09
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.13  alpha=-0.09
dcmd=+0  d=-0.09 | phi=+0.04  ank=-0.04  alpha=+0.00
dcmd=+0  d=-0.09 | phi=+0.07  ank=-0.18  alpha=-0.11
dcmd=+0  d=-0.18 | phi=+0.09  ank=-0.37  alpha=-0.29
dcmd=+0  d=-0.18 | phi=+3.52  ank=-1.01  alpha=+2.50
dcmd=+0  d=+0.09 | phi=+6.44  ank=-2.59  alpha=+3.85
dcmd=+0  d=-0.09 | phi=+8.00  ank=-4.33  alpha=+3.67
dcmd=+0  d=-0.18 | phi=+10.94  ank=-3.52  alpha=+7.43
dcmd=+0  d=-0.18 | phi=+11.51  ank=-5.69  alpha=+5.82
dcmd=+0  d=-0.09 | phi=+12.02  ank=-16.48  alpha=-4.46
dcmd=+0  d=+0.18 | phi=+18.52  ank=-17.64  alpha=+0.88
dcmd=+0  d=+0.26 | phi=+18.87  ank=-24.54  alpha=-5.67
dcmd=+0  d=+0.26 | phi=+19.69  ank=-31.16  alpha=-11.47
dcmd=+0  d=+0.26 | phi=+19.56  ank=-44.25  alpha=-24.70
dcmd=+0  d=+0.26 | phi=+18.98  ank=-61.55  alpha=-42.56
dcmd=+0  d=+0.26 | phi=+18.35  ank=-81.01  alpha=-62.67
dcmd=+0  d=-0.18 | phi=+16.48  ank=-106.06  alpha=-89.58
dcmd=+0  d=-0.26 | phi=+12.96  ank=-126.89  alpha=-113.93
dcmd=+0  d=-0.26 | phi=+9.23  ank=-142.29  alpha=-133.07
