tf,tw,te,tr,trig,a0,surv,cyc,Amax,gam
0.04,0.02,0.09,0.04,0.4,0.5,20.0,69,6.42,22.2
0.04,0.02,0.09,0.04,0.6,0.5,20.0,44,7.04,22.2
0.04,0.02,0.09,0.06,0.4,0.5,20.0,74,7.69,25.2
0.04,0.02,0.09,0.06,0.6,0.5,20.0,45,6.81,25.2
0.04,0.02,0.11,0.04,0.4,0.5,4.91,21,87.31,20.5
0.04,0.02,0.11,0.04,0.6,0.5,20.0,43,6.62,20.5
0.04,0.02,0.11,0.06,0.4,0.5,4.31,18,102.39,23.3
0.04,0.02,0.11,0.06,0.6,0.5,20.0,48,7.25,23.3
0.04,0.02,0.13,0.04,0.4,0.5,4.99,18,84.03,19.1
0.04,0.02,0.13,0.04,0.6,0.5,18.26,43,97.12,19.1
0.04,0.02,0.13,0.06,0.4,0.5,5.97,22,100.52,21.7
0.04,0.02,0.13,0.06,0.6,0.5,20.0,46,6.48,21.7
0.04,0.04,0.09,0.04,0.4,0.5,20.0,66,7.1,19.0
0.04,0.04,0.09,0.04,0.6,0.5,20.0,41,6.38,19.0
0.04,0.04,0.09,0.06,0.4,0.5,20.0,73,7.61,21.6
0.04,0.04,0.09,0.06,0.6,0.5,20.0,44,6.42,21.6
0.04,0.04,0.11,0.04,0.4,0.5,2.98,12,81.21,17.9
0.04,0.04,0.11,0.04,0.6,0.5,7.34,17,83.64,17.9
0.04,0.04,0.11,0.06,0.4,0.5,20.0,71,7.66,20.3
0.04,0.04,0.11,0.06,0.6,0.5,20.0,50,6.47,20.3
0.04,0.04,0.13,0.04,0.4,0.5,3.13,12,85.2,16.9
0.04,0.04,0.13,0.04,0.6,0.5,9.81,28,101.54,16.9
0.04,0.04,0.13,0.06,0.4,0.5,6.69,21,89.2,19.3
0.04,0.04,0.13,0.06,0.6,0.5,20.0,51,17.59,19.3
0.04,0.06,0.09,0.04,0.4,0.5,11.9,43,84.09,16.8
0.04,0.06,0.09,0.04,0.6,0.5,20.0,41,6.06,16.8
0.04,0.06,0.09,0.06,0.4,0.5,3.66,14,93.62,19.1
0.04,0.06,0.09,0.06,0.6,0.5,20.0,52,6.22,19.1
0.04,0.06,0.11,0.04,0.4,0.5,6.37,23,99.87,16.0
0.04,0.06,0.11,0.04,0.6,0.5,20.0,42,5.8,16.0
0.04,0.06,0.11,0.06,0.4,0.5,6.61,20,96.15,18.2
0.04,0.06,0.11,0.06,0.6,0.5,5.44,17,77.39,18.2
0.04,0.06,0.13,0.04,0.4,0.5,2.51,9,96.21,15.4
0.04,0.06,0.13,0.04,0.6,0.5,15.92,36,104.25,15.4
0.04,0.06,0.13,0.06,0.4,0.5,5.91,19,93.21,17.5
0.04,0.06,0.13,0.06,0.6,0.5,8.09,22,76.27,17.5
0.06,0.02,0.09,0.04,0.4,0.5,20.0,68,7.27,21.6
0.06,0.02,0.09,0.04,0.6,0.5,20.0,47,6.71,21.6
0.06,0.02,0.09,0.06,0.4,0.5,20.0,74,7.84,24.6
0.06,0.02,0.09,0.06,0.6,0.5,20.0,51,7.37,24.6
0.06,0.02,0.11,0.04,0.4,0.5,20.0,71,7.26,20.2
0.06,0.02,0.11,0.04,0.6,0.5,20.0,47,6.87,20.2
0.06,0.02,0.11,0.06,0.4,0.5,20.0,70,7.68,22.9
0.06,0.02,0.11,0.06,0.6,0.5,20.0,55,7.64,22.9
0.06,0.02,0.13,0.04,0.4,0.5,20.0,70,8.07,19.0
